epoch : 1/500, train loss = 171.0950, val loss = 71.9941
epoch : 2/500, train loss = 31.3129, val loss = 49.4046
epoch : 3/500, train loss = 18.9279, val loss = 51.2591
epoch : 4/500, train loss = 22.6343, val loss = 53.7896
epoch : 5/500, train loss = 21.5472, val loss = 47.3875
epoch : 6/500, train loss = 20.6759, val loss = 46.8875
epoch : 7/500, train loss = 18.2722, val loss = 50.6300
epoch : 8/500, train loss = 19.7790, val loss = 46.1815
epoch : 9/500, train loss = 16.9830, val loss = 49.0343
epoch : 10/500, train loss = 17.3228, val loss = 44.3951
epoch : 11/500, train loss = 14.3741, val loss = 44.9678
epoch : 12/500, train loss = 13.9672, val loss = 42.5354
epoch : 13/500, train loss = 13.9816, val loss = 39.4772
epoch : 14/500, train loss = 12.7850, val loss = 42.5042
epoch : 15/500, train loss = 14.3862, val loss = 48.9913
epoch : 16/500, train loss = 13.6279, val loss = 42.6498
epoch : 17/500, train loss = 18.2394, val loss = 45.7035
epoch : 18/500, train loss = 13.8240, val loss = 43.7563
epoch : 19/500, train loss = 13.0269, val loss = 39.7129
epoch : 20/500, train loss = 11.6884, val loss = 39.9172
epoch : 21/500, train loss = 11.3856, val loss = 37.3352
epoch : 22/500, train loss = 11.9398, val loss = 42.2821
epoch : 23/500, train loss = 12.4326, val loss = 40.8438
epoch : 24/500, train loss = 11.1116, val loss = 43.8046
epoch : 25/500, train loss = 12.6234, val loss = 40.9415
epoch : 26/500, train loss = 11.2860, val loss = 40.1870
epoch : 27/500, train loss = 11.6339, val loss = 39.9749
epoch : 28/500, train loss = 9.6176, val loss = 38.0030
epoch : 29/500, train loss = 9.2678, val loss = 37.5329
epoch : 30/500, train loss = 8.9451, val loss = 36.3158
epoch : 31/500, train loss = 10.2609, val loss = 38.2062
epoch : 32/500, train loss = 13.6214, val loss = 38.9578
epoch : 33/500, train loss = 9.3213, val loss = 36.0065
epoch : 34/500, train loss = 8.8737, val loss = 37.2476
epoch : 35/500, train loss = 9.4389, val loss = 38.3035
epoch : 36/500, train loss = 8.0899, val loss = 33.6421
epoch : 37/500, train loss = 10.5926, val loss = 39.8672
